report_id,file_name,company_name_english,company_name_original,year_of_report,industry_sector,main_business_summary,ownership_type,size_proxy,reporting_standard_mentions,ESG_structure_present,quantitative_data_richness,overall_text_quality,notes
CN036,Hengtong Optic Electric 2024.pdf,Hengtong Optic Electric,not stated,2024,Other / Not classified,"Environmental, Social and 2024 Governance Report 112 Annex Corporate Governance ESG Governance Stakeholder Engagement Risk Management Business Ethics 14 16 19 23 26 34 36 44 50 88 94 98 100 56 59 70 78 80 Sustainable Innovation Supply Chain Management Quality Control Customer Service and Information Protection Appendix I: GRI Standards Index Appendix II: Index of Shanghai Stock Exchange Guidelines 112 117 Environmental Protection and Management Climate Change and Carbon Neutrality Energy Efficiency and Transformation Water-Saving Transformation and Optimization Emission Management and Recycling Talent Attraction and Retention Empowering Growth and Development Promoting Communication and Care Occupational Health and Safety Compliance and Stability: The Foundation for Steady Growth Low-Carbon Development: Illuminating a Green Future 108 111 Social Contribution and Rural Revitalization Promoting Industrial Sustainable Development Global Cooperation: Demonstrating Hengtong's Responsibility Leading Innovation: Creating Leading Quality Caring for Employees: Promoting Inclusive Development Table of Contents About This Report Message from the Executive About Hengtong Optic-Electric 02 04 06 About This Report Overview Data Source and Reliability Assurance Report Language and Format Basis for Preparation This is the third Environmental, Social, and Govern- ance (ESG) Report (hereinafter referred to as the ""Re- port"") published by Jiangsu Hengtong Optic-Electric Co., Ltd. This Report provides a transparent disclosure of the Company's responsibilities to key stakeholders-including shareholders, customers, partners, employees, the environment, and the community-as well as its performance across environmental, social, and governance (ESG) aspects.",not stated,operating revenue of RMB 59.984 (p5),GRI,yes,3,3,
CN037,Hengyi 2024.pdf,Hengyi,not stated,2024,Other / Not classified,1 Climate Change Response Environmental Management Water Resource Utilization Pollutant Emission Reduction R&D and Innovation Respect Patent Achievements Digital Transformation Industry Exchanges and Cooperation Employees' Rights and Interests Occupational Health and Safety Unblocked Growth Channel Warm Care for Employees Rural Vitalization Philanthropy Serve Community Development Contribution to the BRI 24 26 28 28 34 36 37 38 52 54 55 57 60 60 61 62 Striving for Harmony with the Environment by Green Development Leading Innovation- Driven Development with Science and Technology Growing Together with Employees Building a Harmonious Community with a Shared Future,private,197 employees (p12),GRI,yes,3,3,
CN038,Hisense  2024.pdf,Hisense,not stated,2023,Manufacturing & Electronics,"Environmental Social and Governance Report Hisense Group Holding Company Environmental Social and Governance Report Building Green Homes to Share Environmental Responsibility Addressing Climate Change Environmental Stewardship Water Management Resource Management Pollutant Management Green Operations 21 26 28 29 30 32 Optimising Product Experience with Supreme Quality Improving User Experience Product Responsibility Management Product Development and Innovation 35 38 42 Building Inclusive Workplace under the Culture of ""For Good"" Talent development Employee Rights and Benefits Occupational Health and Safety 49 54 61 Collaborating and Empowering to Create Diversified Value Empowering Supply Chain Sustainability Empowering Industry Development Empowering Smart City Operation Empowering Community Development 66 69 71 73 Strengthen the Foundation for Operation Compliance and Soundness Corporate Governance Compliance Operation Strengthening Internal Controls Adherence to Business Ethics Information Security and Privacy Protection Sustainable Development Management 78 79 81 83 86 88 Appendix Index Guide Reader Feedback 94 101 Introduction About this Report Letter to Our Stakeholders Hisense At a Glance 1 2 3 Towards Green, Embracing Green Intelligent Technology Green R&D and Design Green Production and Manufacturing Green Logistics and Transport Green Recovery and Disposal 12 13 14 15 Feature 1 Going Global with Technology and Love Going First Feature 2 2023 Environmental, Social and Governance Report About this Report About this Report This is the second Environmental, Social, and Governance Report (hereinafter ""this report"" or ""ESG Report"") issued by Hisense Group Holding Company (hereinafter ""Hisense Group"") to present an objective, transparent, fair, compliant and comprehensive disclosure of the Company's highlights and performance in the environmental, social, and gover- nance fields to stakeholders. The financial data in this report is consistent with the scope of the consolidated statements of the 2023 financial report, and the statistical scope of data related to environmental, social and governance issues covers Hisense Group headquarters and related subsidiaries.",not stated,"100,000 employees (p4)",GRI; SASB; ISSB; SDGs,yes,3,3,
CN039,Honor 2024.pdf,Honor,not stated,2024,Technology & Internet,"Privacy and Security Establish a sound privacy protection system Protect personal information during the whole lifecycle Integrate privacy protection into product development Provide users with a comprehensive privacy protection experience Build a privacy and security ecosystem with partners Trustworthy and responsible AI governance 68 82 86 Bridge the digital divide by technology and create a better future Technology leads a healthier life HONOR Magic Moments discovers love and beauty in life HONOR Talents HONOR Talents Global Design Awards HONOR Talents Voice Maker Original Music Awards Youth empowerment campaign now in motion 93 94 101 103 Diversified and fair development opportunities to attract more talents Various training, cultivation of people is cultivation of future Diverse care, living a colorful life at HONOR Open communication, actively listening to the voices of employees Corporate philanthropy, opening a window to the soul Employee health and safety, safeguarding employees at all times Supplier CSR management Protect the legitimate rights of workers Strictly manage health and safety in the workplace Build a green and sustainable supply chain Responsible raw material management 115 118 120 126 126 129 135 139 139 140 141 Compliance management system construction Best practices of HONOR compliance management Compliance capability building 142 144 145 148 113 05.",not stated,"2024, employees (p5)",not stated,yes,3,3,
CN040,ICBC 2024.pdf,nment Social 93 106 115 122 133 65 80 89 38 41 44 50 56 1 1 21 27 02 03 Industrial and Commercial Bank of China Limited,not stated,2024,Financial Services,"CONTENTS Chairman's Statement About Us Strategic Objective, Positionings, Significance Corporate Culture Honors and Awards 02 04 06 07 08 140 140 149 150 156 166 Appendix Sustainable Development Performance Instructions Independent Assurance Report Contrast with Index Readers' Feedback 92 Inclusive Finance Consumer Protection Privacy and Data Security Human Capital Development Social Contribution 64 Green Finance Response to Climate Change Green Operation 36 Technology Finance Pension Finance Digital Finance Serving the Real Economy and Livelihood Global Financial Services Corporate Governance Sustainable Development Management Risk and Internal Control Management Governance 10 Development Environment Social 93 106 115 122 133 65 80 89 38 41 44 50 56 1 1 21 27 02 03 Industrial and Commercial Bank of China Limited Sustainability Report 2024 Chairman's Statement Chairman's Statement This is the first sustainability report released by ICBC. Following the principle of pursuing profits with righteousness, we fulfilled our social responsibilities, firmly blazed a trail for financial development with Chinese characteristics, and provided high-quality financial services to boost the sustainable devel- opment of the economy, environment and society.",state-owned,not stated,GRI,yes,3,3,
CN041,iFlyTEK 2024.pdf,iFlyTEK,not stated,2024,Technology & Internet,"(the ""Company"" or “iFLYTEK”) collectively guarantee the truthfulness, accuracy, and completeness of the information in this Annual Report, affirming the absence of any false records, misleading statements, or significant omissions, and accept full joint and severable legal accountability for its contents. The Company's profit distribution plan approved by the current Board of Directors is as follows: Based on the total number of shares (excluding repurchased shares in dedicated accounts) on the record date when the distribution was implemented, a cash dividend of 1 RMB yuan per 10 shares (tax-inclusive) will be distributed to all shareholders.",state-owned,not stated,not stated,yes,3,3,
CN042,Inovance 2024.pdf,Inovance,not stated,2024,Construction & Infrastructure,not stated,not stated,not stated,not stated,yes,3,3,
CN043,JA Solar 2024.pdf,JA SOLAR SUSTAINABILITY AND,not stated,2024,Renewables & Clean Tech,"www.jasolar.com ABOUT THIS REPORT Reporting Period Reporting Boundary Report Release Reliability Assurance Report Statement Report Access References Report Principles This is an annual report covering the period from January 1, 2024, to December 31, 2024 (hereinafter referred to as the ""reporting period""). and its subsidiary production sites, which is consistent with the scope of the disclosure in the JA Solar Technology Co., Ltd.",state-owned,"30,000 employees (p5)",GRI; ISSB; UNGC; SDGs,yes,3,3,
CN044,Jinko Solar 2024.pdf,Jinko Solar,not stated,2024,Renewables & Clean Tech,"(referred to as ""Jinko Solar"", ""the Company"", or ""we"") and all its subsidiaries, which is generally consistent with the scope of the consolidated financial statements for the same period. Unless otherwise specified, the data in this report is based on this period.",not stated,"10,000 employees (p20)",GRI; ISSB; UNGC; SDGs,yes,3,3,
CN045,Kweichow Moutai Co 2024.pdf,Kweichow Moutai Co,not stated,2024,Consumer Goods,"is referred to as ""Kweichow Moutai"", ""Moutai"", the ""Company"", ""we"", or ""us"", while our controlling shareholder, China Kweichow Moutai (Group) Co., Ltd., is referred to as ""Moutai Group"" in this Report. The bookkeeping base currency for all monetary amounts involved is RMB.",state-owned,total revenue of RMB 174.144 (p5),GRI; SDGs,yes,3,3,
CN046,Lenovo 2024.pdf,Lenovo,not stated,2023,Other / Not classified,not stated,not stated,"2023, employees (p9)",GRI; SDGs,yes,3,3,
CN047,LINGYI iTECH (GUANGDONG) COMPANY 2024.pdf,LINGYI iTECH (GUANGDONG) COMPANY,not stated,2024,Other / Not classified,not stated,not stated,"70,319 employees (p14)",not stated,yes,3,3,
CN048,LONGI 2024.pdf,LONGI,not stated,2024,Renewables & Clean Tech,"2024 Sustainability Report About This Report Message from the Chairman Message from the Chief Sustainability Officer About LONGi Honors and Ratings Sustainable Development Goals and Progress Tracking LONGi's Partnership with UNHCR: A Dedicated Topic Sustainability Management 1 2 4 6 7 10 15 19 Front Matter ESG Performance Summary ESG-Related Certifications Index of Indicators Designation References in the Report Third Party Assurance Report Suggestions and Feedback 164 171 172 182 183 185 Appendix Governance 01 Value Chain 02 Environmental 03 Social 04 CONTENTS Corporate Governance Risk Management Business Ethics Data Security and Privacy Protection 33 36 41 48 Innovation-driven Development and Smart Manufacturing Product Quality Management Customer Relationship Management Sustainable Supply Chain 54 62 66 69 Climate Change and Clean Technology R&D Water and Effluents Pollution Waste Resource Use and Circular Economy Biodiversity and Ecosystems 93 112 121 125 128 131 Human Rights Occupational Health and Safety Human Capital Development Community Engagement 137 143 149 160 About This Report This is LONGi’s eighth Sustainability/Corporate Social Responsibility (CSR) Report, with the inaugural edition published in March 2018 and the previous one published in April 2024. All of these are rigorously verified to ensure absence of false entries, misleading representations or material omissions.",not stated,not stated,GRI; ISSB; SDGs,yes,3,3,
CN049,LUXSHAREICT 2024.pdf,LUXSHAREICT,not stated,2024,Telecom & ICT,"This report is the sixth consecutive sustainability report released by the Company. The Reporting Period is from January 1, 2024 to December 31, 2024.",not stated,not stated,GRI,yes,3,3,
CN050,Meituan 2024.pdf,Meituan,not stated,2024,Technology & Internet,"05 Corporate Social Responsibility Philosophy of Meituan 06 Meituan Over the Years 09 Facts and Figures 04 Message from the Senior Management 70 About This Report 71 About Us 34 Technology Empowering Life 37 Unleashing Market Potential 44 Supporting Merchant Development 49 Exploring International Markets 50 [Special Feature] Green Mountain Initiative: Better Life, Better Nature Creating a Better Industry 32 02 14 Enhancing Customer Experience 20 Safeguarding Couriers' Rights and Interests 28 Expanding Employment Channels 30 [Special Feature] Daishubaobei Courier Kids Support Project: Love is Nurtured here Creating a Better Life 12 01 Contents 56 Promoting Green Consumption 59 Serving Rural Revitalization 61 Supporting Social Charity 66 [Special Feature] Meituan Playgrounds for Rural Children: Love is visible there Creating a Better Society 54 03 Meituan 2024 Corporate Social Responsibility Report 04 05 Corporate Social Responsibility Philosophy of Meituan We are committed to sharing our social responsibility philosophy across the whole ecosystem to promote the development and progress of all stakeholders, so that we can create value for users, the industry, and society. Meitu- an drones now operate regularly in cities such as Beijing and Shenzhen, providing users with the convenience of ultra-fast delivery while serving as a new channel for transporting emergency supplies such as disaster relief and medical materials.",state-owned,"10,000 employees (p15)",not stated,yes,3,3,
CN051,Mengniu Dairy 2024.pdf,Mengniu Dairy,not stated,2024,Consumer Goods,"This report is available in simpliﬁed Chinese, traditional Chinese, and English. Website: www.mengniu.com.cn Investor relations website: www.mengniuir.com Unless otherwise speciﬁed, the disclosure scope of this report is consistent with the scope of the 2024 annual report of China Mengniu Dairy Company Limited, including China Mengniu Dairy Company Limited and its subsidiaries.",not stated,revenue of RMB 88.67 (p7),GRI,yes,3,3,
CN052,Midea 2024.pdf,Midea,not stated,2024,Manufacturing & Electronics,not stated,not stated,not stated,not stated,no,0,0,Text extraction limited / likely image-based
CN053,Nanjing Steel 2024.pdf,"treet, Jiangbei New District, Nanjing, Jiangsu Province, China Postal Code: 210035 01 02 Nanjing Iron & Steel Co., Ltd.",not stated,2024,Telecom & ICT,"The Company's Board of Directors guarantees the accuracy of the content within this Report, confirming there are no false records, misleading statements, or significant omissions. Reliability Assurance This Report is published in both Simplified Chinese and English.",state-owned,"4,240 
employee (p7)",GRI; SDGs,yes,3,3,
CN054,PICC 2024.pdf,PICC,not stated,2024,Financial Services,"SUSTAINABILITY REPORT 3 2 1 CONTENTS Report Preparation Notes Message from the Company Leadership Statement from the Board of Directors Promoting sustainable development management Key Figures in 2024 Contributions to SDGs About Us ESG Performance External Assurance Index Reader Feedback Promoting green and harmonious development Actively tackling climate change Practicing Green and Low-Carbon operations Setting the benchmark in insurance protection Cultivating Fertile Ground for Talent Development Multi-party cooperation and win-win situation Warmth Gives Back to the Community Improving corporate governance Implementing risk-based internal controls Building Integrity and Compliance 02 04 05 06 08 10 14 94 100 103 112 22 27 34 40 67 72 74 80 86 90 Taking Green as the Brush, Taking Green as the Brush, Pioneering a Beautiful Path Pioneering a Beautiful Path to Carbon Neutrality to Carbon Neutrality Finance for the People, Finance for the People, Warming Hearts with Warming Hearts with Compassion Compassion Strengthening Governance, Strengthening Governance, Driving Innovation Driving Innovation 2024 Sustainability Report This report is the 2024 annual sustainability report of PICC P&C, focusing on disclosing information related to the Company's environmental, social and governance aspects of sustainable development. ◎ Reporting Period: From January 1, 2024 to December 31,2024, which is consistent with the reporting period of the 2024 Annual Report of PICC P&C.",state-owned,not stated,GRI; SDGs,yes,3,3,
CN055,PING AN 2024.pdf,PING AN,not stated,2024,Financial Services,"PING AN SUSTAINABILITY REPORT 2024 1 SUSTAINABLE DEVELOPMENT STRATEGY MANAGEMENT CLIMATE CHANGE AND CARBON NEUTRALITY SUSTAINABLE OPERATIONS AND COMMUNITY SUSTAINABLE BUSINESS SUSTAINABLE GOVERNANCE 2 4 5 3 Strategic Planning Management System Materiality Assessment Stakeholder Engagement About this report About Ping An Awards and Recognition Featured Story 2: The ""Worry-free, Time-saving and Money-saving"" Project Pioneers a New Paradigm in Financial Services Featured Story 1: Thirty Years of Public Welfare Education, Lighting Up the New Journey with Love Governance Strategy Impact, Risk and Opportunity Management Metrics and Targets Corporate Governance Business Code of Conduct Information Security and AI Governance Annual Key Performance Statement of the Board of Directors Independent Third-Party Assurance Report Indicator Index Supporting the Real Economy Sustainable Insurance Responsible Banking Responsible Investment Responsible Products Rural Revitalization and Community Impact Consumer Protection and Experience Development and Welfare of Employees and Agents Technological Innovation Sustainable Supply Chains 20 23 25 28 02 03 04 110 110 133 134 31 37 48 54 65 142 150 155 160 175 176 179 72 83 89 104 107 08 15 APPENDIX OPENING FEATURED STORIES About this Report Reporting scope: The reporting entity is Ping An Insurance (Group) Company of China, Ltd. Reporting cycle: The Report is published annually.",not stated,"103,610 employees (p8)",GRI; SASB,yes,3,3,
CN056,Power Construction Corporation of China 2024.pdf,Power Construction Corporation of China,not stated,2030,Construction & Infrastructure,"(SEHK) UN 2030 Agenda for Sustainable Development GRI Sustainable Development Reporting Standards (GRI Standards) released by Global Sustainability Standards Board (GSSB) Ten Principles of the United Nations Global Compact Guidelines on Social Responsibilities (ISO 26000) released by International Organization for Standardization (ISO) • • • • • • Report acquisition The report is issued in both Chinese and English as PDF versions. The same statistical methodologies have been applied, and a three-year comparative analysis of key quantitative ESG indicators is included to illustrate performance trends.",state-owned,not stated,GRI; UNGC,yes,3,3,
CN057,Sany 2024.pdf,Sany,not stated,2024,Construction & Infrastructure,"CONTENTS Optimizing Operations to Shape First-Class Governance Driving Technological Innovation to Deliver First-Class Products Low-Carbon Development and First- Class Operations Giving Back to Society to Make First-Class Contributions Developing a People- Centered Culture to Foster First-Class Talent About This Report Message from the Chairman About SANY Heavy Industry Sustainability Management Feature: Advancing Three Core Strategies to Foster High- Quality, Development at SANY Heavy Industry Quantitative Performance Table Shanghai Stock Exchange Guidelines Index GRI Index Corporate Governance Risk Control Business Ethics Innovation-Driven Development Superior Quality Sustainable Supply Chain Environmental Management Ecological Protection Low-Carbon Development Green Industrial Parks Philanthropy Rural Revitalization Social Rescue Compliant Employment Talent Development Employee Benefits Health and Safety 01 03 05 09 11 101 105 106 25 26 29 39 43 45 51 54 59 63 87 90 97 67 69 74 78 01 02 03 05 04 About This Report This is the 2024 Sustainable Development (ESG) Report (hereinafter referred to as ""this Report"") released by SANY Heavy Industry Co., Ltd. This Report provides a truthful account of SANY Heavy Industry’s efforts to fulfill the economic, social, and environmental responsibilities and to advance sustainable development.",not stated,"2,178 employees (p6)",GRI,yes,3,3,
CN058,SF Holding.pdf,SF Holding,not stated,2024,Financial Services,"Sustainability Report 2024 SF Holding Sustainability Management 8 Declaration from the Board of Directors ESG Governance ESG Policy Statement Stakeholder Engagement Materiality Assessment 10 11 11 12 13 About SF 2 SF Culture Awards for Sustainable Development ESG Ratings Performance Annual Progress on UN Sustainable Development Goals (UNSDGs) 3 4 5 6 Governance Fortifying Sustainable Governance for Long- Term Resilience 18 Environment Pioneering Low-Carbon Logistics to Power a Green Transformation 34 Creating Green Logistics Promoting Circular Economy Practice Green Operation Safeguarding Ecological Environments Addressing Climate Change Standardize Corporate Governance Strengthen Risk Control Management Abiding by Business Ethics Ensuring Information Security 36 50 54 60 63 20 22 25 30 Social Fostering a Responsible Logistics Ecosystem through Mutual Benefit and Symbiosis 74 Construction of Talent Team Protecting Employees’ Rights and Interests Stand Firm on the Frontline of Safety Stable and Safe Production Building a Responsibility Value Chain Sustaining Commitments to Social Wellbeing 76 87 98 101 107 112 Services Empowering New-Quality Productivity Through Digital Intelligence 122 Pioneering Intelligent Logistics Innovation Empowering Enterprises Expanding Overseas Delivering Premium Services Securing Safety Delivery Driving Industry Synergy and Shared Progress 124 132 134 137 140 Appendices 142 About the Report Assurance Statement Policy List Key Performance Indicators Sustainability Report Content Index 142 145 147 152 165 CONTENTS 01 04 05 03 02 About SF Appendices Sustainability Management Governance Environment Social Services SF Holding 2024 Sustainability Report 3 2 About SF Focusing on its logistics ecosystem, SF has continually enhanced its portfolio of product and service capabilities, and has expanded to cover time-definite express, economy express, freight, cold chain and pharmaceutical logistics, intra-city on-demand delivery, international express, international cargo and freight forwarding, and supply chain, to provide customers with domestic and international end-to-end one-stop integrated logistics services. Meanwhile, leveraging its leading technology and research and development capabilities, the Company is committed in building a digitalized supply chain ecosystem, empowering clients with technology to create secure and efficient digital supply chain systems.",state-owned,274 employees (p16),GRI; SDGs,yes,3,3,
CN059,Shenzhen International Holding Limited.pdf,Shenzhen International Holding Limited,not stated,2024,Financial Services,"CONTENTS Promoting Robust Growth with Responsible Governance Embracing Green Sustainability for Harmonious Coexistence Pooling United Efforts for Mutual Benefits and Common Prosperity 01 03 05 Corporate Governance Sustainable Development Management Compliant Operation Environmental Management Building Green Logistics Parks Building Green Ports Eco-Environmental Protection Tackling Climate Change Green Awakening 50 51 55 59 62 65 Supply Chain Management and Development Industry Exchange and Collaboration Community Building 20 22 26 82 84 86 About this Report About Shenzhen International Key Performance Highlights for 2024 Corporate Honors Key Events in 2024 Chairman's Statement Board Statement 02 04 06 08 10 14 16 Index of HKEX ESG Indicators List of ESG Policies and Regulations ESG Performance Indicators 90 93 95 Putting Talent First to Build Team Cohesion 04 Protecting Employee's Rights and Interests Employee Training and Development Employees' Health and Safety Care for Employees 68 71 73 78 Forging A High-Quality Development Path with Green Empowerment 46 Pursuing Unremitting Refinement for Supreme Excellence 02 Distinctive Craftsmanship High-Quality Services 38 41 Responsibility Spotlight Responsibility Spotlight Exploring Innovative Logistics Models Building a New Landscape of Integrated Multimodal Transportation 34 Sources of Information Reporting Principles Confirmation and Approval Report Access Unless otherwise specified, the financial data cited in this Report is sourced from audited financial statements included in the 2024 Annual Report. Unless stated otherwise, the reporting currency used in this Report is Renminbi (RMB).",state-owned,"473,000
Employee (p5)",SDGs,yes,3,3,
CN060,Sungrow 2024.pdf,Sungrow,not stated,2024,Renewables & Clean Tech,"About This Report This report is the tenth sustainability report publicly disclosed by Sungrow Power Supply Co., Ltd., with the aim of engaging in transparent communication with stakeholders regarding the Company’s sustainability philosophy, specific actions, and performance. Reporting Period This is an annual report covering the period from January 1, 2024, to December 31, 2024.",not stated,"1,900 employees (p3)",GRI; UNGC,yes,3,3,
CN061,Sunny Optical Technology 2024.pdf,Sunny Optical Technology,環境,2024,Manufacturing & Electronics,"About the Report Chairman's Statement About the Group 02 04 06 100 102 104 107 111 Appendix I: Independent Practitioner's Limited Assurance Report Appendix II: Responsibility KPIs Appendix III: Environmental, Social and Governance Reporting Guide Comparison Table Appendix IV: GRI Index Reader Feedback Form CONTENT Corporate Governance Risk Management Business Ethics ESG Governance 15 18 23 26 Environmental Management Principles and Policies Respond to Climate Change Resource Utilization and Energy Management Emission Management Green Ecology and Biodiversity 35 38 40 45 48 51 52 53 54 57 59 61 R&D Innovation Clean Technologies & Green Products Protection of Intellectual Property Rights Quality Control Management of Hazardous Substances Information Security Management Customer Rights and Interests Protection 03 Product Liability 63 66 67 Supply Chain Management Conflict Minerals Management Suppliers Training and Communication 04 Sustainable Supply Chain Management 69 69 78 83 88 Employer Brand Value Labor Rights Development and Training of Employees Employee Care Occupational Health and Safety 05 Creating Together with Employees 98 99 Support for Education Public Welfare and Voluntary Services 01 Sustainability Governance 02 Low-Carbon Green Operation 06 Community Welfare About the Report This report is the 2024 Environmental, Social and Governance (""ESG"") Report issued by Sunny Optical Technology (Group) Company Limited (the ""Company""or""Sunny Optical Technology"") , which mainly summarizes the ESG work methods, commitments and strategies of the Company and its subsidiaries (the""Group"") . Reporting Frequency This report is an annual report.",not stated,revenue of approximately RMB 1.8 (p29),GRI,yes,3,3,
CN062,Sunwoda 2024.pdf,Sunwoda,not stated,2024,Renewables & Clean Tech,"2024 About This Report Report Description This report is the fifth ESG report issued by Sunwoda Electronic Co., Ltd. The reporting period is from January 1, 2024, to December 31, 2024 (hereinafter referred to as ""this year"" or ""the reporting period"").",not stated,not stated,GRI; ISSB; UNGC; SDGs,yes,3,3,
CN063,Taishin Holding 2024.pdf,Taishin Holding,not stated,2024,Financial Services,"The Corporate Sustainability Oﬃce is responsible for the preparation of this report and the coordination and integration of the applicable targets. Reporting Principle The information contained in this report is disclosed in accordance with the to the latest Global Report- ing Initiative (GRI) Standards 2021, the Sustainability Accounting Standard for Commercial Banks, and the Sustainability Disclosure Indicators - Financial and Insurance Industry and Climate-Related Information of TWSE/TPEx Listed Company provided in Taiwan Stock Exchange Corporation Rules Governing the Prepara- tion and Filing of Sustainability Reports by TWSE Listed Companies.",not stated,not stated,GRI; SASB; TCFD,yes,3,3,
CN064,TCL Technology Group 2024.pdf,TCL Technology Group,not stated,2024,Manufacturing & Electronics,"01 02 Sustainable Operation Scientific Governance Green Development Shared Value Innovation for Progress Appendix About the Report TCL Technology Group Corporation's 2024 Environmental, Social and Governance Report (hereinafter referred to as the ""Report"") is an annual report covering the period from January 1, 2024 to December 31, 2024 (hereinafter referred to as the ""reporting period""). This Report is published annually in conjunction with the annual report of TCL Technology Group Corporation.",not stated,"4,387 employee (p15)",GRI; SASB; TCFD; UNGC; SDGs,yes,3,3,
CN065,Tencent 2024.pdf,Tencent,not stated,2024,Technology & Internet,"Business Ethics Appendix Overview Corporate Governance ESG Governance Chapter 1 Environmental Protection Chapter 2 Caring for Our People Chapter 3 Safeguarding Digital Rights Chapter 4 Digital Inclusion Chapter 5 Digital Technologies Supporting Sustainable Development Goals Chapter 6 Business Ethics Appendix 97 02 About Tencent Tencent is a leading global internet technology company dedicated to creating innovative products and services to enrich the lives of people. We provide enterprise services, including marketing, cloud services and computing, and FinTech services, to support the digital upgrade and business expansion of our partners.",not stated,300 employees (p29),GRI; SDGs,yes,3,3,
CN066,TPV 2024.pdf,TPV,not stated,2024,Manufacturing & Electronics,"While the market environment is constantly evolving, TPV's steadfast commitment to global society remains unchanged. Synergy as the Key: Forging Partnerships for Sustainability As the world's leading intelligent manufacturer of monitors and LCD TVs, TPV fully understands the truth that ""Many hands make light work"".",state-owned,300 employees (p14),UNGC,yes,3,3,
CN067,Vanke 2024.pdf,Vanke,not stated,2024,Other / Not classified,"Vanke never wavered, which is evidenced by our proactive adjustment on strategies to optimize resource allocation and enhance operational efficiency through “streamlining procedures” and focusing on principal businesses. Although the road ahead remains arduous, Vanke is committed to forging ahead with unwavering determination, collaborating with all stakeholders to collectively advance toward a sustainable future.",state-owned,not stated,GRI; SASB; TCFD; ISSB,yes,3,3,
CN068,WuXi AppTec.pdf,WuXi AppTec,not stated,2024,Healthcare & Pharma,"2024 Environmental, Social and Governance Report About WuXi AppTec Our Governance Supporting Our Customers Quality of Product and Service Sustainable Supply Chain ESG Strategy and Management ESG Governance ESG Management Materiality Assessment Protecting Our Planet Climate Change Emissions Management Resources Management Being A Responsible Citizen Ethics and Compliance Anti-Corruption and Bribery Information Security and Protection Empowering Our Community Our Employees Our Workplace Our Community Contents 09 38 42 16 18 20 49 60 65 25 29 32 70 76 79 About This Report 03 2024 ESG Highlight Performance 05 2024 ESG Rating Performance 06 Performance Table Appendix 82 89 Message from the Chairman and CEO 04 03 About WuXi AppTec ESG Strategy and Management Supporting Our Customers Being A Responsible Citizen Empowering Our Community Performance Table Protecting Our Planet About This Report Overview This report is the seventh environmental, social and governance (hereinafter referred to as ""ESG"" as appropriate) report issued by WuXi AppTec Co., Ltd. This report is an annual report covering the work for the financial year from January 1 st, 2024, to December 31 st, 2024 (the ""Reporting Period""), with some associated information that may be retroactive outside of the Reporting Period.",not stated,not stated,GRI; SASB; UNGC; SDGs,yes,2,3,
CN069,XCMG 2024.pdf,XCMG,not stated,2024,Construction & Infrastructure,"Appendix I： Quantitative Performance Sheet Appendix II: Reader Feedback Form About this Report Message from the Chairman About XCMG Machinery Responsibility Management 115 109 01 03 05 11 Corporate Governance Risk Management Business Ethics Interests and Rights of Shareholders and Creditors Technological Innovation Climate Change Responses Pollution Prevention and Treatment Optimization of Resource Usage Product and Customer Responsibility Cooperation for Win-Win Outcomes Labor Administration Occupational Safety and Health Community Relations 19 23 27 30 32 45 57 65 73 81 88 97 103 CONTENTS Comprehensive Governance for Quality and Efficiency: Efficient Management for Development Green and Low-carbon Transformation for Sustainable Development Leading with Responsibility for Integrity, Fostering Harmony through Public Welfare XCMG Construction Machinery Co., Ltd. 2024 Environmental, Social and Governance (ESG) Report 01 02 About this Report About this Report To better address your and other stakeholders’ needs, and to enhance the value of our ESG information provided for you, we seek your valuable feedback on this Report.",state-owned,"735 
Employee (p16)",GRI,yes,3,3,
CN070,Xiaomi 2024.pdf,Xiaomi,not stated,2024,Technology & Internet,"01 Chairman's Address Board Statement Tech for Practicality and AI for Good Supply Chain for Green Growth and Ecosystem for Synergy Talents for Excellence and Partnerships for Prosperity Governance for Stability and Compliance for Rigorousness Appendix About This Report This is the seventh environmental, social, and governance (ESG) report published by Xiaomi Corporation (""the Group,"" or “we/us”), with an aim to present, on an objective and impartial basis, the ESG strategy, management, and implementation progress of Xiaomi Corporation and its subsidiaries included in the Annual Report in 2024. The Group undertakes that there are no false records or misleading statements in this Report, and takes responsibility for the authenticity, accuracy, and completeness of the information in this Report.",not stated,"21,190 employees (p7)",GRI; SASB; TCFD; ISSB; SDGs,yes,3,3,
CN071,Zhejiang Huayou Cobalt 2024.pdf,"Zhejiang Huayou Cobalt Co., Ltd.",not stated,2024,Renewables & Clean Tech,The monetary unit adopted in the Report is RMB (yuan) unless otherwise specified. The Report is prepared in accordance with the SSE Self- Regulatory Guidelines for Listed Companies No.,not stated,not stated,GRI; SDGs,yes,3,3,
